534, 535
453, 676
791, 141
565, 756
612, 467
719, 504
102, 87
90, 87
681, 658
599, 639
549, 552
721, 629
560, 552
620, 361
694, 395
706, 510
802, 703
541, 602
794, 549
336, 411
591, 701
601, 515
919, 668
583, 658
775, 538
617, 733
576, 496
688, 616
709, 840
441, 712
380, 329
668, 505
610, 440
805, 556
561, 609
563, 517
888, 309
538, 483
745, 255
703, 651
29, 16
627, 719
446, 606
613, 853
589, 607
525, 625
596, 757
554, 719
626, 509
801, 627
603, 441
599, 512
782, 653
626, 513
677, 612
572, 533
444, 660
488, 302
621, 696
824, 657
731, 705
811, 703
799, 632
796, 294
464, 692
671, 512
568, 517
742, 202
869, 456
587, 510
396, 453
589, 669
508, 641
717, 672
698, 515
451, 703
398, 382
580, 579
141, 132
691, 606
212, 515
704, 674
608, 637
618, 787
340, 225
594, 441
615, 595
597, 342
549, 469
457, 368
787, 567
449, 801
634, 478
818, 692
617, 556
578, 514
598, 548
621, 643
723, 160
446, 564
152, 132
562, 754
588, 616
