800, 584
592, 739
782, 641
422, 755
128, 37
614, 594
530, 732
710, 693
539, 837
675, 645
523, 606
483, 596
791, 647
358, 565
492, 796
665, 624
647, 835
544, 620
501, 591
721, 417
715, 684
496, 652
566, 709
395, 522
369, 498
540, 801
698, 542
734, 591
698, 608
693, 579
233, 338
681, 654
566, 784
683, 731
667, 569
720, 654
546, 672
611, 569
476, 649
572, 753
667, 645
698, 491
555, 485
756, 694
626, 712
549, 934
520, 712
544, 610
662, 573
697, 708
763, 640
430, 911
859, 571
325, 215
731, 157
606, 625
795, 440
694, 290
528, 538
145, 172
720, 692
556, 665
701, 641
719, 766
523, 818
769, 722
590, 804
641, 630
529, 674
288, 487
706, 571
452, 584
905, 349
561, 764
653, 579
445, 354
657, 617
682, 788
314, 243
366, 350
625, 795
651, 696
413, 816
784, 601
585, 490
633, 477
663, 602
420, 651
464, 768
669, 545
458, 664
692, 300
703, 603
683, 511
641, 575
837, 659
646, 561
592, 377
642, 636
720, 600
64, 373
602, 698
346, 174
