726, 350
762, 592
611, 810
598, 505
603, 494
544, 927
633, 712
485, 771
719, 764
661, 608
630, 474
506, 784
638, 543
501, 572
253, 525
499, 567
615, 426
698, 629
446, 588
820, 622
605, 520
634, 687
803, 833
622, 823
657, 766
550, 823
838, 470
785, 551
769, 567
675, 803
668, 710
550, 751
517, 545
631, 509
133, 367
773, 822
670, 791
760, 664
754, 591
791, 402
639, 791
723, 716
710, 689
618, 797
671, 578
681, 630
678, 658
733, 715
601, 702
462, 774
522, 701
647, 831
783, 574
722, 698
6, 34
560, 645
564, 762
629, 756
791, 694
819, 665
760, 759
675, 710
728, 711
631, 740
712, 675
969, 190
623, 606
746, 720
660, 684
522, 855
804, 697
737, 794
569, 746
392, 668
749, 746
804, 892
660, 668
815, 556
663, 816
721, 758
671, 398
680, 738
840, 627
850, 698
943, 760
518, 729
586, 753
